company,stand_or_location,stand_code,profile_url,website,page_title,status,final_score,keyword_score,tfidf_similarity_0_100,relevance,matched_keywords,matched_by_category,score_ai_ml,score_embedded_hardware,score_robotics_autonomy,score_software_data,score_career_signal,x,y,zone,text,logo_original_url
Avnet Abacus,Stand H1,H1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzY=,https://my.avnet.com/abacus,Avnet Abacus,200,5.4,5.4,0.0,Low,sensor,embedded_hardware: sensor,0.0,4.0,0.0,0.0,0.0,553.8,1497.5,main floor,"Avnet Abacus | Stand H1 | Avnet Abacus | Avnet Abacus | Information | Avnet Abacus is a leading European distributor specializing in interconnect, passive, electromechanical, power supply, energy storage, wireless, and sensor products. With a strong presence in the market, we have established ourselves as a reliable and trusted partner for manufacturers, designers, and engineers across various industries. | Social media | Contact details | https://my.avnet.com/abacus | USA | Products & services | Product Highlights | Team | AR Andrew Runciman RSM UK North & Ireland Avnet Abacus | Chris De Franco Business Development Manager Avnet Abacus | CS Chris Shipway Distribution Manager XP Power | Cd Ciaran donaghy Account Manager Avnet | GP Gala Petrovic Event support Avnet Abacus",https://static.swapcard.com/public/images/61d511eda1804086bd37657236b8a132.png
Avnet Silica,Stand H2,H2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzU=,,Avnet Silica,200,29.526,28.295,3.518,Medium,"ai, cloud, edge ai, embedded","ai_ml: ai, edge ai; embedded_hardware: embedded; software_data: cloud",14.265,5.0,0.0,3.0,0.0,553.8,1366.8,main floor,"Avnet Silica | Stand H2 | Avnet Silica | Avnet Silica | Sessions | Team | Information | WE TURN COMPLEX INTO DELIVERABLE | Avnet Silica helps thousands of businesses across EMEA bring secure, intelligent, and connected products to market. If you’re developing a complete edge to cloud concept, working on a new design or facing complex supply chain issues, our experts are here to support you every step of the way, or whenever you need us.Our commitment goes beyond just providing solutions; it's about fostering innovation and driving tangible results. As technological landscapes continue to evolve at an unprecedented pace, Avnet Silica remains at the forefront, equipping you with not only cutting-edge components and systems but also with the knowledge and guidance required to navigate the dynamic currents of the industry. | Contact details | www.avnet-silica.com | Enabling Physical Edge AI at Scale Thursday, June 11, 2026 11:20 AM to 11:50 AM Conference Theatre 1 Dimitris Kolosov · Avnet Silica | Enabling Physical Edge AI at Scale | AF Alvin Ferlance Field Application Engineer Avnet Silica | AB Andy Barker Sales Director UK & Ireland Avnet Silica | CE Carla Ellams Marketing Avnet Silica | DA Dan Atkins Business Manager - Embedded Avnet Silica | DM DANNY MCKINSTRY Senior Key Account Manager Avnet Silica",https://static.swapcard.com/public/images/ea8d9b7757094518a4010c3682e77aa9.png
Axiomtek,Stand B7,B7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDE=,https://www.axiomtek.com,Axiomtek,200,26.063,25.149,2.611,Medium,"automation, embedded, embedded systems","embedded_hardware: embedded, embedded systems; robotics_autonomy: automation",0.0,14.925,4.0,0.0,0.0,152.6,1455.7,main floor,"Axiomtek | Stand B7 | Axiomtek | Axiomtek | Information | Axiomtek is one of the major design and manufacturing companies in the Industrial PC field with over 30 year experience. Since its establishment in 1990, Axiomtek has successfully gained world wide recognition for its innovative designs and guarantee of total customer satisfaction. | At Axiomtek, we design, manufacture, and support award-winning versatile and modularly designed Single Board Computers, Applied Computing Platforms and Touch Panel Computers, so that customers have a single, reliable, cost-effective source. Axiomtek's wide array of CE, FCC & UL certified products include single board computers, embedded systems and barebone systems, panel computers, medical PC, human machine interfaces, and network security appliances. | Our creative concept of integrated services for embedded computing assures trusted delivery and valuable system integration from board-level design-in to system-level design for vertical markets in automation, transportation, gaming, power utility, POS, kiosk, retail, network security, medical, digital signage, green power and much more. | We opened UK office in 2015 in order to provide better services for local customers. Our worldwide technical support and sales service among our offices located in Taiwan, USA, Europe, Japan, and China to ensure prompt service to customers as well as logistic centers in Taiwan, USA, and China. | Social media | Contact details | https://www.axiomtek.com | United Kingdom | Team | CL Claire Lin Marketing and Sales Executive Axiomtek UK Ltd | EL Eric Lin Business Development Manager Axiomtek UK Ltd | RL Raymond Lai Product Solution Manager Axiomtek UK Ltd | WW Wen Wang Sales Director Axiomtek UK Ltd",https://static.swapcard.com/public/images/bb53d083b05c4757976e77f7f0b3cecf.png
Azego TS Ltd and Vision Display Solutions,Stand H5,H5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDA=,https://www.azego.co.uk/en,Azego TS Ltd and Vision Display Solutions,200,1.145,0.0,3.27,Low,,,0.0,0.0,0.0,0.0,0.0,553.8,767.6,main floor,"Azego TS Ltd and Vision Display Solutions | Stand H5 | Azego TS Ltd and Vision Display Solutions | Azego TS Ltd and Vision Display Solutions | Information | Azego is a leading AS9120B accredited independent distributor of electronic components offering global sourcing and strategic supply chain solutions. | Vision Display Solutions provides high-quality display technology solutions, helping customers to overcome their display challenges. | Social media | Contact details | https://www.azego.co.uk/en | United Kingdom | Team | BW Ben Willis Account Manager Azego TS Ltd | NR Neil Raggett Business Development Manager Azego TS Limited | SW Sarah Warlow Operations Manager Vision Display Solutions Ltd",https://static.swapcard.com/public/images/f2743cdd59074df2b53ffae2db9b9d05.png
BCD Atlantik,Stand D1,D1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDI=,https://bcdatlantik.co.uk/en,BCD Atlantik,200,12.287,12.15,0.39,Low,"embedded, iot","embedded_hardware: embedded, iot",0.0,9.0,0.0,0.0,0.0,283.9,1519.6,main floor,"BCD Atlantik | Stand D1 | BCD Atlantik | BCD Atlantik | Team | Information | BCD Atlantik is a UK-based provider of electronic components and technologies to businesses. We offer a range of services and products that deliver benefit to customers along their entire value chain, from early stage design support & problem solving, to supplying components for deployable products, and everything in between. | With long-standing relationships with key global suppliers, we have a focus on embedded processing, wireless communications, connectivity enablement and display technologies. Many of our projects are within the smart industrial and infrastructure markets, IoT, wireless audio & broadcast solutions, and medical devices & security applications. | Social media | Contact details | https://bcdatlantik.co.uk/en | United Kingdom | FL Francesca Lattore Operations BCD Atlantik Ltd | GA Greg Armand Senior Channel Sales BCD Atlantik Ltd & Qualcomm | LC Lewis Coomber Managing Director BCD-Atlantik Ltd | SB Shane Brewer Business Development Manager BCD-Atlantik Ltd",https://static.swapcard.com/public/images/d325edd116e44b04b8b03ca556e41737.png
BEC Group,Stand S8,S8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAxODM=,https://www.becgroup.com,BEC Group,200,10.991,10.8,0.547,Low,"electronics, sensors","embedded_hardware: electronics, sensors",0.0,8.0,0.0,0.0,0.0,984.1,889.5,main floor,"BEC Group | Stand S8 | BEC Group | BEC Group | Products & services | Team | Information | Established in 1978, BEC Group is a UK-based tooling and plastic injection moulding specialist. | From custom plastic housings to ruggedised enclosures and overmoulded sensors, we work closely with electronics brands, to bring their designs to life. | We collaborate closely with designers and engineers, providing Design for Manufacture expertise to optimise performance and cost. | With all tooling and moulding carried out in-house in Hampshire, we offer complete control, speed and quality. | Social media | Contact details | https://www.becgroup.com | United Kingdom | Plastic Injection Moulding | Tooling | Rapid/Prototype Tooling | Design for Manufacture | Overmoulding | Insert Moulding | Heat Inserting | JR James Ricketts Business Development BEC Group Limited | KR Katie Reed Commercial Director BEC Group | PH Paul Holland Technical Director BEC Group Limited",https://static.swapcard.com/public/images/a4824251f7b74de48b3de994531d12d0.png
Binder,Stand F11,F11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDY=,https://www.binder-connector.com/uk,Binder,200,24.484,24.125,1.026,Low,"automation, pcb, sensor, sensors","embedded_hardware: pcb, sensor, sensors; robotics_autonomy: automation",0.0,12.0,6.34,0.0,0.0,414.5,1083.1,main floor,"Binder | Stand F11 | Binder | Binder | Information | binder is a family-owned company shaped by traditional values and is a leading specialist for circular connectors. The group includes the headquarters in Neckarsulm, nine international sales offices, seven production facilities, two system service providers and an innovation and technology centre. Their strengths lie in the development, design and automated manufacturing of standard and customised products. binder produces a wide range of industrial connectors for various technologies; agricultural, food & beverages, machinery, signal equipment, medical technology, measuring technology as well as sensor and automation technology. binder manufacture a wide range of products within their M12 family for various applications: A-coded for sensors and DC power, B-coded for Profibus and D- and X-coded for 100 Mbit and 10 Gbit Ethernet respectively.K- and L-coded M12 connectors are suitable for transmitting electrical power to AC and DC applications in factory automation. binder also offers a selection of overmolded cable components that were developed for use according to UL 2238. All M12 products from binder provide industry relevant protection acc. to IP67 against the ingress of dust and water. The binder variants are based on the current market standards with regard to the PCB drilling pattern, which means that switching to binder products requires little effort. The M12 family is just one series of industrial connectors that binder offer. (Including M5, M8, M16 and, M23). Alongside industry standard products they also manufacture many series suitable for industrial, medical and numerous other applications. | Contact details | https://www.binder-connector.com/uk | United Kingdom | Products & services | binder | Team | DS Dan Saxton Sales Manager - South BINDER UK LIMITED | DM David McKenzie Sales Manager - North BINDER UK LIMITED | DP David Phillips Managing Director BINDER UK LIMITED | GE Graham Ellis Sales Director BINDER UK LIMITED",https://static.swapcard.com/public/images/72c2c03747f24f1da2a77548392b55df.png
Bittium,Stand B15,B15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDc=,https://www.bittium.com,Bittium,200,11.728,11.171,1.591,Low,"ai, hardware, software",ai_ml: ai; embedded_hardware: hardware; software_data: software,3.17,3.0,0.0,3.0,0.0,152.7,674.8,main floor,"Bittium | Stand B15 | Bittium | Bittium | Information | Bittium – Engineering ServicesWith over 40 years of experience in secure wireless technology, Bittium provides innovative, high-quality product development services for secure wireless devices. Our comprehensive expertise covers all areas in hardware and software development, ensuring reliability and performance. Supported by state-of-the-art testing services and laboratories, we deliver turnkey projects covering the full product lifecycle. Bittium also provides reliable and secure solutions for tactical and secure communications and biosignal measuring and monitoring. Bittium Corporation is listed on Nasdaq Helsinki Exchange (BITTI). | Contact details | https://www.bittium.com | Finland | Sessions | Why AI projects fail - and how to make yours succeed Thursday, June 11, 2026 12:40 PM to 1:10 PM Conference Theatre 2 | Why AI projects fail - and how to make yours succeed",https://static.swapcard.com/public/images/33cd30847989427296be0be43ce2986a.png
Bloomice,Stand G4,G4,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTI=,https://www.bloomice.com,Bloomice,200,13.16,12.4,2.17,Low,"automation, data, iot",embedded_hardware: iot; robotics_autonomy: automation; software_data: data,0.0,4.0,4.0,2.0,0.0,462.3,1344.0,main floor,"Bloomice | Stand G4 | Bloomice | Bloomice | Team | Information | Enabling Reliable Wireless Connectivity | Bloomice is a specialist engineering company focused on the design, development, and delivery of high-performance antenna systems, RF circuitry, and bespoke cable assemblies for modern wireless communication systems. Our solutions support the rapidly expanding world of connected devices, enabling reliable data transmission across industrial, IoT, infrastructure, and advanced technology applications. | For more than two decades, Bloomice has worked with technology companies, equipment manufacturers, and system integrators to solve complex wireless communication challenges. Our antenna and RF solutions have been integrated into millions of devices deployed globally, supporting critical connectivity in applications ranging from smart infrastructure and industrial automation to connected consumer devices and specialised RF platforms. | At Bloomice, our mission is simple: to ensure that wireless systems perform reliably in the environments where they matter most. | Social media | Contact details | https://www.bloomice.com | United Kingdom | AK Alan Kerr Business Development Bloomice | GB Graham Blackstock Director Bloomice | RB Robert Betts Technical Director Bloomice | Tony Kinsella Commercial Director Bloomice",https://static.swapcard.com/public/images/0d43fd9a3a9444b196f64982f805d64a.png
Bodio Electronic Technologies,Stand S6,S6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDAzMDI=,https://www.bodio-tech.com/,Bodio Electronic Technologies,200,0.0,0.0,0.0,No clear match,,,0.0,0.0,0.0,0.0,0.0,984.7,984.8,main floor,"Bodio Electronic Technologies | Stand S6 | Bodio Electronic Technologies | Bodio Electronic Technologies | Team | Information | Founded in 2008, Bodio Electronic specializes in manufacturing wire harnesses, wiring looms, cable assemblies and connectors. We offer OEM and ODM services. | With over 17 years of experience and certifications including ISO9001, IATF16949, and ISO13485, we are committed to reliable quality and professional service. | Social media | Contact details | https://www.bodio-tech.com/ | China | CC Cheng Chen Product Manager Dongguan Bodio Electronic Technologies Co., Ltd. | HH HANHAI HE General Manager Dongguan Bodio Electronic Technologies Co Ltd | PC Paul Connolley Product Manager Dongguan Bodio Electronic Technologies Co Ltd",https://static.swapcard.com/public/images/10d5b28808524f78b22d7437c96146b7.png
Braemac,Stand G11,G11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTI=,https://www.braemac.com,Braemac,200,0.117,0.0,0.335,Low,,,0.0,0.0,0.0,0.0,0.0,461.4,611.7,main floor,"Braemac | Stand G11 | Braemac | Braemac | Team | Information | Braemac is a global leader in the distribution & integration electronic systems – particularly displaying solutions, industrial PC’s & power supplies - and value-added services. Empowering engineers and developers for over 40 years–Braemac features expert in-house engineers, extensive design-phase support, state-of-the-art distribution, value-add facilities, comprehensive supply chain solutions, and unparalleled customer service. Braemac offers solutions for diverse markets and applications, helping customers streamline development, reduce costs, accelerate time to market, and support long term interoperability. | Social media | Contact details | https://www.braemac.com | United Kingdom | EW Emma Woodd Account Manager Braemac Ltd | JY James Yeomans Field Application Engineer Braemac Ltd | Jamie Whiteman Field Sales Account Manager Braemac Ltd | LA Lee Axton Account Manager Braemac Ltd | NB Natalie Beddows Account Manager Braemac Ltd",https://static.swapcard.com/public/images/64a65a1a0146499797f85d146b58a0c6.png
Brainboxes,Stand Q14,Q14,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTM=,https://www.brainboxes.com,Brainboxes,200,15.912,15.32,1.692,Low,"data, embedded, iot","embedded_hardware: embedded, iot; software_data: data",0.0,9.0,0.0,3.17,0.0,1072.2,768.8,main floor,"Brainboxes | Stand Q14 | Brainboxes | Brainboxes | Products & services | Team | Information | Optimising production lines, mastering machine monitoring, reliably collecting data: Brainboxes simple, secure industrial connectivity lets you focus on what matters. | Experience our brand-new, interactive “Inside the Cabinet” feature to preview pre-launch products and prototypes, and get hands-on with the latest releases. We’ve also got the same trusted Network Switches, Ethernet to Serial adapters, and best-in-class IoT modules to keep data flowing exactly where it’s needed. | At Brainboxes, Trusted Connectivity lasts a lifetime, and so does our support. Every Brainboxes product comes with our simple Built for Life Warranty: no limits, no fees, no hidden catches - just peace of mind. | Social media | Contact details | https://www.brainboxes.com | United Kingdom | Pure Embedded Industrial 5 Port 10/100 Ethernet Switch | Hardened Industrial 16x 10/100 Ethernet Switch | Industrial 1 SFP & 4 Port PoE+ Gigabit Ethernet Switch | JC John Connor Business Development Brainboxes | LW Luke Walsh Managing Director Brainboxes | NL Natasha Langridge-Thorpe Marketing Assistant Brainboxes | Stephen Greer Sales Director Brainboxes",https://static.swapcard.com/public/images/86706d8bea97414ba94928593045239a.jpeg
BSI Group,Stand A15,A15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTQ=,https://www.bsigroup.com/en-GB,BSI Group,200,10.8,10.8,0.0,Low,iot,embedded_hardware: iot,0.0,8.0,0.0,0.0,0.0,70.0,821.1,main floor,"BSI Group | Stand A15 | BSI Group | BSI Group | Products & services | Sessions | Team | Information | BSI’s state-of-the-art product testing labs help manufacturers ensure their internet-connected devices meet EU RED and UK PSTI cybersecurity requirements. Our experts rigorously test wireless, IoT, and smart technologies to validate security, performance, and compliance.For manufacturers looking to demonstrate trusted quality and cybersecurity, we also offer BSI Kitemark™ certification – a globally recognized symbol of excellence.Partner with BSI for expert testing, certification, and regulatory support. | Social media | Contact details | https://www.bsigroup.com/en-GB | United Kingdom | Electrical Appliance Testing and Certification | UK PSTI - Compliance Testing for Consumer Connectable Products | Radio Equipment Directive Cybersecurity Testing for Radio Products | Internet of Things (IOT) Devices Security Testing and Certification | Inspire trust with BSI Kitemark™ for Secure Digital Applications | How Cryptographic Module Certification Is Helping Market Leaders Wednesday, June 10, 2026 12:00 PM to 12:45 PM Campfire Zone | How Cryptographic Module Certification Is Helping Market Leaders | Charley Yorke Business Development Manager BSI | CR Chris Rouse Global Testing & Laboratories Director BSI | DM David Mudd Assurance Global Head Digital Trust BSI | DA Dion Allen IOT Certification Manager BSI | KS Kier Sheehan Marketing Manager BSI",https://static.swapcard.com/public/images/f1049f10ea494280b1d3838f140a433c.png
Bulgin,Stand C6,C6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTM=,https://www.bulgin.com,Bulgin,200,3.544,3.17,1.069,Low,data,software_data: data,0.0,0.0,0.0,3.17,0.0,199.8,1154.3,main floor,"Bulgin | Stand C6 | Bulgin | Bulgin | Products & services | Team | Information | Bulgin is a globally recognised manufacturer specialising in environmentally sealed connectors and electronic components designed for demanding and harsh environments. With over a century of engineering expertise, the company continues to lead innovation in connectivity solutions across multiple industries worldwide. | Operating on an international scale, Bulgin serves a diverse customer base with high-performance products that meet rigorous standards of quality, durability, and reliability. | Social media | Contact details | https://www.bulgin.com | UK | Bulgin Circular Power Connectors – Reliable Power, Wherever It’s Needed | Bulgin Circular Data Connectors – Secure Data in Harsh Environments | Bulgin Switches – Versatile Control for Every Application | DM Dawn Mason Marketing Manager Bulgin | JL Jonathan Love Business Development Manager Bulgin | Josh House Product Engineer Bulgin Ltd | Thisen Bird Associate Product Manager Bulgin Ltd",https://static.swapcard.com/public/images/07a7b3e221f340dc8323cced672a5b8a.jpeg
ByteSnap Design,Stand C2,C2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTY=,https://www.bytesnap.com,ByteSnap Design,200,150.38,145.849,12.944,High,"ai, cloud, computer vision, data, edge ai, electronics, embedded, embedded systems, firmware, fpga, hardware, iot, linux, ml, pcb, semiconductor, software","ai_ml: ai, computer vision, edge ai, ml; embedded_hardware: electronics, embedded, embedded systems, firmware, fpga, hardware, iot, pcb, semiconductor; software_data: cloud, data, linux, software",27.615,69.774,0.0,15.755,0.0,199.6,1455.8,main floor,"ByteSnap Design | Stand C2 | ByteSnap Design | ByteSnap Design | Products & services | Team | Information | ByteSnap Design is a UK leading embedded electronics and software design consultancy, delivering robust, no drama design solutions, accelerating time-to-market. | Trusted partner for businesses worldwide since 2008. | *** | Visit ByteSnap Design on stand C2 to see our live edge AI demo: a real-time AI vision system that detects and identifies objects as they pass a camera, with results displayed instantly on screen. | Powered by an Infineon PSOC Edge and running entirely at the edge, it requires no cloud connection, no external processing and no compromises on latency or data privacy. | The demo uses figures on a spinning turntable. The engineering behind it is exactly what we deliver for production clients: computer vision and embedded AI working together in a low-power, real-world system. | If your product roadmap includes machine vision or edge AI and your team is stretched, lacking specialist ML resource, or simply unsure where to start, come and find us on the stand. ByteSnap Design bridges that gap, from proof of concept through to production-ready hardware and firmware. | Benefit from turnkey services and peace of mind through our Automated Product Design Service. With ByteSnap Design you can avoid the frustration of dealing with suppliers who can only offer one part of the solution, leaving you to coordinate multiple vendors, while managing technical gaps. | You’re in safe hands with experts who truly understand both hardware and software, whilst managing the complexities of your embedded systems development project. | Examples of how we help: | • Assessment of complete project requirements with early identification of potential risks | • End-to-end development from concept though to manufacture | • Semiconductor partnerships with leading brands, such as NXP, Microchip, Digi & Arrow | With ISO 9001:2015 certification and a proven track record across medical devices, EV charging systems, industrial solutions, IoT and more, you can be sure of world-class engineering standards. | We offer engineering expertise across embedded Linux & firmware development, software security management, BOM monitoring, FPGA design, IoT solutions, low power wireless, PCB design, and ATEX design; spanning multiple sectors, including energy, automotive, security, medical, and industrial. | Our embedded systems engineering consultants have been accelerating time to market for manufacturers since 2008. Talk to our team on stand about ByteSnap Design’s new development services for WirelessHART, BOM Management, Cellular Migration and Obsolescence Management. | Talk to our award-winning team to see how ByteSnap Design can get your product to market quicker and ensure your engineering project’s success. | Social media | Contact details | https://www.bytesnap.com | United Kingdom | BOM Monitoring Service: Drama-Free Component Obsolescence Management | ATEX Product Design Services | Intrinsic Safety Specialists | 4-6 Month Cellular Migration: Recover Your Schedule & Clear the Certification Wall | SNAPPRO IQ - Protect Your Firmware IP - Manufacturing | Custom PCB Design for Peak Performance | Edge AI and Embedded AI Development Services | Embedded Linux Security Management | HART & WirelessHART Product Development & Certification Support | GW Graeme Wintle Director ByteSnap Design | MR Michelle Robinson Marketing Manager ByteSnap Design | NG Nate Gil Hardware Engineer ByteSnap Design | NC Nicola Cope Senior Digital Marketing Specialist ByteSnap Design | RM Robert Meeks Business Development Manager ByteSnap Design",https://static.swapcard.com/public/images/823672fe43964bc1bd5fdcfcd53a6c07.png
C-MAC Electronics Solutions,Stand S1,S1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAyMjE=,https://cmac.com/,C-MAC Electronics Solutions,200,23.174,22.939,0.671,Low,"automation, electronics",embedded_hardware: electronics; robotics_autonomy: automation,0.0,13.288,4.0,0.0,0.0,984.8,1533.9,main floor,"C-MAC Electronics Solutions | Stand S1 | C-MAC Electronics Solutions | C-MAC Electronics Solutions | Products & services | Team | Information | C-MAC Electronics Solutions is an expert EMS provider specializing in custom electronics for reliable applications. We assemble and test complex electronic systems that perform in the most demanding environments. Whether it's in industrial automation, medical technology, Automotive, or aerospace. Our strength lies in delivering tailored solutions, with a strong focus on quality, flexibility, and long-term partnerships. With 60+ years of experience and state-of-the-art facilities, we support our customers from prototyping to production with precision, care, and confidence. | Social media | Contact details | https://cmac.com/ | United Kingdom | Printed Circuit Board Assembly (PCBA) | Box Build | Ceramic printed circuit boards | Module Assembly | AD Andrew Dix Manufacturing Engineer C-MAC SMT Ltd. | DD David Dyas Business Development Manager C-MAC Electronics Solutions | GDS Gerbren De Smet Global Marketeer C-MAC electronics solutions | SS Sona Smilnakova Planning and Purchasing Manager C-MAC Electronics Solutions | SM Stefan McSweeney Operations Manager C-MAC Electronics Solutions",https://static.swapcard.com/public/images/59f9c99112854dc8ad7bc7e6c5508287.png
Caligra,Stand A12,A12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTg3NzM=,https://caligra.com/c100/,Caligra,200,6.387,6.0,1.105,Low,"linux, software","software_data: linux, software",0.0,0.0,0.0,6.0,0.0,70.0,1152.0,main floor,"Caligra | Stand A12 | Caligra | Caligra | Products & services | Team | Information | Computers for Experts | We think the world needs a brand of computing that stands behind creative technical work, dedicated to creating instead of consuming. | The c100 Developer Terminal is purpose built for Workbench, a Linux-based operating system designed to accelerate your work. | Our goal is to help you make the future. | Social media | Contact details | https://caligra.com/c100/ | c100 Developer Terminal | Workbench OS | GB Grant Bissett CEO, Co-Founder Caligra Ltd | MH Max Haack CTO Caligra Ltd | NF Nicole Farinello Software Engineer Caligra Ltd | ZK Ziad Khouri Distinguished Engineer Caligra Ltd",https://static.swapcard.com/public/images/6847ff1a700543d787b246c3041641e8.png
Cambridge Electronic Industries,Stand A3,A3,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTU=,https://www.cambridgeelectronics.com,Cambridge Electronic Industries,200,0.0,0.0,0.0,No clear match,,,0.0,0.0,0.0,0.0,0.0,70.0,1536.7,main floor,"Cambridge Electronic Industries | Stand A3 | Cambridge Electronic Industries | Cambridge Electronic Industries | Products & services | Team | Information | Cambridge Electronic Industries is known worldwide for its range of high-performance Coaxial Connectors and has recently introduced a range of M Series Circular Connectors, Power Connectors and Audio Connectors to its portfolio. | Cambridge Electronic Industries also supply cable assemblies throughout the world and the company can support prototype or small volume quantities from their UK based headquarters, with large volumes being manufactured at their facility in Taiwan. With many of the cable assemblies being a bespoke product the company is happy to receive anything from an idea to a production drawing and with their wealth of expertise is happy to offer advice and solutions. | All cable assemblies feature well-known brands, such as Belden, Molex and JST to name a few, which have proven reliability and performance, supporting the companies’ ethos of manufacturing high-quality products. | Social media | Contact details | https://www.cambridgeelectronics.com | United Kingdom | The Core Range - Coaxial Connectors | The Audio Range | M Series Circular Connectors | Power Connectors | CB Callum Bacon Sales Co-ordinator Cambridge Electronic Industries | Carra Bignell Marketing Manager Cambridge Electronic Industries | KP Kate Page Head of Technical & Business Development Cambridge Electronic Industries",https://static.swapcard.com/public/images/3c3576f61f914d6380fbbfc809f78b53.png
Challenger Solutions,Stand C16,C16,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDQ=,https://www.challengersolutions.com,Challenger Solutions,200,19.494,19.359,0.386,Low,"electronics, pcb","embedded_hardware: electronics, pcb",0.0,14.34,0.0,0.0,0.0,199.6,890.2,main floor,"Challenger Solutions | Stand C16 | Challenger Solutions | Challenger Solutions | Information | Challenger Solutions Ltd | Precision Contract Electronics Manufacturing | With over 30 years of experience, Challenger Solutions Ltd is a trusted UK-based electronics manufacturing partner delivering high-quality, high-reliability solutions across aerospace, defence, medical, and industrial sectors. | From prototype and new product introduction (NPI) through to full-scale production and complete box build, we provide end-to-end manufacturing services designed to meet the most demanding specifications. | Combining advanced technology, skilled engineering, and a flexible, customer-focused approach, we offer the capability of a large organisation with the responsiveness of a specialist partner. | Core Capabilities: | · PCB Assembly (SMT & Through-Hole) | · Box Build & System Integration | · Test, Inspection & Full Traceability | · Supply Chain & Procurement Management | Certifications: AS9100 | ISO 9001 | ISO 14001 | Tagline: Small Enough to Care. Big Enough to Cope. | Page 2 – About Us | Who We Are Challenger Solutions Ltd is a UK-based contract electronics manufacturer with over 90 highly experienced staff operating across 60,000 sq ft of manufacturing and warehousing facilities in Essex. | We provide complete electronics manufacturing solutions from prototype through to full production, supporting high-reliability sectors including aerospace, defence, medical, and industrial electronics. | Our Approach We combine the capabilities of a large organisation with the flexibility and responsiveness of a smaller company, enabling us to adapt quickly to customer requirements. | Key Strengths | · Flexible and scalable production | · Strong engineering and technical expertise | · Customer-focused, open management approach | 30+ years of proven manufacturing experience | · AS9100-certified processes for high-reliability sectors | · Flexible production volumes (prototype to full scale) | · Fast turnaround with dedicated Express SMT capability | · Advanced equipment enabling high precision and repeatability | · Full product lifecycle support (NPI to end-of-life) | · Strong supply chain with authorised distributor sourcing | · Secure, compliant facility with cleared personnel | · Customer-focused approach with responsive communication | Contact details | https://www.challengersolutions.com | Products & services | Services | Team | AM Andy Mair CEO Challenger Solutions Ltd | EL Eldon Lindsay Sales Manager Challenger Solutions Ltd | Mark Patmore Sales Manager Challenger Solutions Ltd | RC Richard Chambers Operations Director Challenger Solutions Ltd | SM Scott Marshall Operations Director Challenger Solutions Ltd",https://static.swapcard.com/public/images/331446c34f4e4287abcc7d8fc2fa9aac.png
